,Product Name,Product ID,Listing Price,Sale Price,Discount,Brand,Description,Rating,Reviews,Images,Last Visited
293,Nike Drop-Type Mid,BQ5190-101,6995,4897,0,Nike,"Part of the N354 family that nods to Steve Prefontaine's fastest mile, the Nike Drop-Type Mid is inspired by classic tennis shoes in the NikeCourt family. With distinct design lines that borrow from the All Court 2, it puts a raw, experimental edge on an iconic look.",5.0,1,"[""https://static.nike.com/a/images/t_PDP_1728_v1/tohghzwfreuerhbmki4z/drop-type-mid-shoe-T3Gb43.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/a1vlk8x7rayeqqrknk4b/drop-type-mid-shoe-T3Gb43.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/qvvb2srvljztynvqqlis/drop-type-mid-shoe-T3Gb43.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/waz1eqpazoocrkwedfjb/drop-type-mid-shoe-T3Gb43.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/blgbdgztgsiliqetgnru/drop-type-mid-shoe-T3Gb43.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/l8akufzrxrrn2xqdknbp/drop-type-mid-shoe-T3Gb43.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/q79mhnivcwmxfua9v7hd/drop-type-mid-shoe-T3Gb43.jpg""]",2020-04-13T15:32:28
191,Nike P-6000,CD6404-800,7995,4797,0,Nike,"The Nike P-6000 draws on the 2006 Nike Air Pegasus, bringing you a mash-up of iconic style that's breathable, comfortable and evocative of that early-2000s vibe.",0.0,0,"[""https://static.nike.com/a/images/t_PDP_1728_v1/c4tlq3koheyvq0jwsql1/p-6000-shoe-QcQbpx.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/tgqcwc1wimbdrxa2lgfk/p-6000-shoe-QcQbpx.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/jleciyjvgzmjymrsxv4c/p-6000-shoe-QcQbpx.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/qs8vznzxj6qw3dga8ljz/p-6000-shoe-QcQbpx.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/htmfskpadaog5fuvaa0z/p-6000-shoe-QcQbpx.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/jssravljsgnj7hrxt8hr/p-6000-shoe-QcQbpx.jpg""]",2020-04-13T15:30:23
323,Nike Cortez '72 S.D.,CJ2586-100,7995,4797,0,Nike,"Inspired by Phil Knight's ""Shoe Dog"", the Nike Cortez '72 S.D. returns to the OG design with zigzag edges, an exposed foam tongue and minimalist leather. Why? Because you don't change what works.",4.4,9,"[""https://static.nike.com/a/images/t_PDP_1728_v1/gdyjuok7ldw15ijoonnz/cortez-72-sd-shoe-2V16wZ.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/irho0kaiwdfg0kx6jve0/cortez-72-sd-shoe-2V16wZ.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/j8fvucmigb6nibwu7x7l/cortez-72-sd-shoe-2V16wZ.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/kwnzd9cmpa9whwbwl4ba/cortez-72-sd-shoe-2V16wZ.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/wzdr70xnia7zohpw429t/cortez-72-sd-shoe-2V16wZ.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/cke1eztbolfpyp63r2rt/cortez-72-sd-shoe-2V16wZ.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/cxcwxgcpnewcq9lbpxyb/cortez-72-sd-shoe-2V16wZ.jpg""]",2020-04-13T15:32:34
96,Nike Daybreak SP,BV7725-500,7995,4797,0,Nike,"The Nike Daybreak SP marks the return of the 1979 original, featuring suede and nylon on the upper and old-school graphics on the tongue for a '70s runner-inspired look and feel.",5.0,3,"[""https://static.nike.com/a/images/t_PDP_1728_v1/oo8nfaxjvklmg4hzh8gh/daybreak-sp-shoe-30r2Zk.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/avctwk4jytyysoelu8ig/daybreak-sp-shoe-30r2Zk.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/xomez0sfjzw6yj9dpdvo/daybreak-sp-shoe-30r2Zk.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/ke6euigjkc1wfyz8cfsl/daybreak-sp-shoe-30r2Zk.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/y1wzqx17yxoy556g6tdu/daybreak-sp-shoe-30r2Zk.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/tsegm4guce9ko9roxd9o/daybreak-sp-shoe-30r2Zk.jpg""]",2020-04-13T15:28:19
529,Nike Zoom Rival Fly,CD7287-003,7995,4797,0,Nike,"Inspired by Japan's Ekiden relay runners, the Nike Zoom Rival Fly features a futuristic look with a Zoom Air unit in the forefoot that gives you responsive propulsion. Flex grooves underneath optimise toe-off and soft foam cushions your stride. The mesh and synthetic upper blends strength and breathability.",0.0,0,"[""https://static.nike.com/a/images/t_PDP_1728_v1/y8crsqhn2fnog8bpb3s7/zoom-rival-fly-running-shoe-gXV2M1.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/atbfooes2oucgrkkqnjf/zoom-rival-fly-running-shoe-gXV2M1.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/yo4ml3yiosgzt0ianfiz/zoom-rival-fly-running-shoe-gXV2M1.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/ezn6vnuuebqwtmdbxrqc/zoom-rival-fly-running-shoe-gXV2M1.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/sw07swazdapziww8kdkw/zoom-rival-fly-running-shoe-gXV2M1.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/sblwb1llfxsom7fqekzo/zoom-rival-fly-running-shoe-gXV2M1.jpg""]",2020-04-13T15:36:44
498,Nike Free RN 5.0,AQ1316-500,7995,4797,0,Nike,"An ideal performer for runs of up to 3 miles, the Nike Free RN 5.0 returns to its roots as a running shoe. A stripped-down upper with single-layer mesh is stretchy to feel like a second skin. The lightweight midsole with less foam makes it easy to hit the ground running.",4.2,13,"[""https://static.nike.com/a/images/t_PDP_1728_v1/mhhgfrgzqsd6vecp415y/free-rn-5-running-shoe-fx7j0x.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/rjqaftqhlgzzstqt4qip/free-rn-5-running-shoe-fx7j0x.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/il4wbelvtqfpojjb0fjo/free-rn-5-running-shoe-fx7j0x.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/dswszdimy8ldd2xg59oo/free-rn-5-running-shoe-fx7j0x.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/w0u6urpjkscnaavupl1h/free-rn-5-running-shoe-fx7j0x.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/mpc9acfwmbz0eoutgbbf/free-rn-5-running-shoe-fx7j0x.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/tux18x0biz39hsk6yazx/free-rn-5-running-shoe-fx7j0x.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/ltcxzhumnqzelim4gsju/free-rn-5-running-shoe-fx7j0x.jpg""]",2020-04-13T15:36:34
469,Nike Tiempo Legend 8 Academy MG,AT5292-004,6495,4547,0,Nike,The Nike Tiempo Legend 8 Academy MG takes the legendary touch of calfskin leather and adds a versatile multi-ground plate for traction on natural- and artificial-grass surfaces.,2.0,1,"[""https://static.nike.com/a/images/t_PDP_1728_v1/nxc8nmn5ufdhneqa89ry/tiempo-legend-8-academy-mg-multi-ground-football-boot-pvFMg4.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/symmrzydbaisrm2tcis5/tiempo-legend-8-academy-mg-multi-ground-football-boot-pvFMg4.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/h44upjfnlves0r4f0gfo/tiempo-legend-8-academy-mg-multi-ground-football-boot-pvFMg4.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/lp42yhtjm5lhsvmrkenm/tiempo-legend-8-academy-mg-multi-ground-football-boot-pvFMg4.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/wlgvkynv7im9z5dtwsty/tiempo-legend-8-academy-mg-multi-ground-football-boot-pvFMg4.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/ebozb2nlvu99m5kkgjx2/tiempo-legend-8-academy-mg-multi-ground-football-boot-pvFMg4.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/wceuix5xpui8vjhrvllz/tiempo-legend-8-academy-mg-multi-ground-football-boot-pvFMg4.jpg""]",2020-04-13T15:34:53
447,Nike Flex Contact 3,AQ7488-004,5995,4197,0,Nike,"The Nike Flex Contact 3 gives you the benefit of laces without the hassle of tying them. An elastic, slip-on lacing system pairs with a floating heel strap for pressure-free support. A knit upper adds stretch, while the outsole with heel-to-toe grooves follows the natural flow of your foot.",0.0,0,"[""https://static.nike.com/a/images/t_PDP_1728_v1/i2wqnni31fx9lc0k1ss2/flex-contact-3-running-shoe-qf2QlG.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/fks7wayxq8hy2bfyfd3w/flex-contact-3-running-shoe-qf2QlG.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/k1n1xsr5bcmlbt27vdn4/flex-contact-3-running-shoe-qf2QlG.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/ouudme4pqwr0itwsvqp1/flex-contact-3-running-shoe-qf2QlG.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/rxeriyog14lmc2an4ceb/flex-contact-3-running-shoe-qf2QlG.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/mugjtstzcx6b1mhu4iso/flex-contact-3-running-shoe-qf2QlG.jpg""]",2020-04-13T15:34:42
431,Nike Mercurial Vapor XII Club MG,AH7378-801,4995,3997,0,Nike,"The Nike Mercurial Vapor XII Club Multi-Ground Football Boot provides exceptional ball touch and a specialised outsole that promotes acceleration and quick directional changes on multiple kinds of surfaces, like natural and artificial grass.",0.0,0,"[""https://static.nike.com/a/images/t_PDP_1728_v1/whuokvmqc9beruim9wjt/mercurial-vapor-xii-club-multi-ground-football-boot-TX23h6.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/bqxnjjtrplzttnsljpmf/mercurial-vapor-xii-club-multi-ground-football-boot-TX23h6.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/hvtvxtlsryvpw8jxglnk/mercurial-vapor-xii-club-multi-ground-football-boot-TX23h6.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/aojyrsizdroiiwehqef9/mercurial-vapor-xii-club-multi-ground-football-boot-TX23h6.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/ro23jjkiq48gwkn6zqwa/mercurial-vapor-xii-club-multi-ground-football-boot-TX23h6.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/pnzgz29ps43y3sz7ub0a/mercurial-vapor-xii-club-multi-ground-football-boot-TX23h6.jpg"",""https://static.nike.com/a/images/t_PDP_1728_v1/kqpbwhfus5y0kfqyxgkk/mercurial-vapor-xii-club-multi-ground-football-boot-TX23h6.jpg""]",2020-04-13T15:34:30
587,Nike Tanjun,812655-011,4995,3997,0,Nike,"Named after the Japanese word for simplicity, the Nike Tanjun Women's Shoe offers an elegant, modern design for an elevated everyday look.",4.0,53,"[""https://c.static-nike.com/a/images/t_PDP_1728_v1/fvpczzjmw8pil3gdvvek/tanjun-shoe-WyTA7xdw.jpg"",""https://c.static-nike.com/a/images/t_PDP_1728_v1/dyt64esr9lcufi0fp6d0/tanjun-shoe-WyTA7xdw.jpg"",""https://c.static-nike.com/a/images/t_PDP_1728_v1/qwhpukmfohlpwydsk7s7/tanjun-shoe-WyTA7xdw.jpg"",""https://c.static-nike.com/a/images/t_PDP_1728_v1/i4yukuvc7ndcussjpvur/tanjun-shoe-WyTA7xdw.jpg"",""https://c.static-nike.com/a/images/t_PDP_1728_v1/ubhgxxfxlhn9q3b0y747/tanjun-shoe-WyTA7xdw.jpg"",""https://c.static-nike.com/a/images/t_PDP_1728_v1/pjwbzkx8rsjqmgdufssd/tanjun-shoe-WyTA7xdw.jpg""]",2020-04-13T15:37:01
